Year,Authors,Title,Source title,DOI
2024,Flores M.; Reyna T.; Quiñonez E.; Mendoza J.A.; Corzo V.F.; Ortiz C.; Huerta S.,"Unsafe Practices of Motorcycle Riders in El Petén, Guatemala: A Community Observational Study and a Retrospective Institutional Review",Journal of Surgical Research,10.1016/j.jss.2024.04.084
2024,Shool S.; Piri S.M.; Ghodsi Z.; Tabrizi R.; Amirzade-Iranaq M.H.; Mashayekhi M.; Dabbagh Ohadi M.A.; Mojtabavi K.; Abbasnezhad R.; Vasighi K.; Atlasi R.; Ansari-Moghaddam A.; Taghi Heydari S.; Sharif-Alhoseini M.; Shafieian M.; O’Reilly G.; Rahimi-Movaghar V.,"The prevalence of helmet use in motorcyclists around the world: a systematic review and meta-analysis of 5,006,476 participants",International Journal of Injury Control and Safety Promotion,10.1080/17457300.2024.2335509
2023,Ribeiro E.A.; Ferreira R.H.; Caixeta L.C.; Fagundes M.J.L.; de Jesus Weber L.K.B.; Teixeira A.O.,"Clinical-epidemiological profile of traumatic brain injury associated with traffic accidents in southeastern Pará, in the Brazilian Amazon",Medicina (Brazil),10.11606/issn.2176-7262.rmrp.2023.204038
2023,Canonica A.C.; Alonso A.C.; da Silva V.C.; Bombana H.S.; Muzaurieta A.A.; Leyton V.; Greve J.M.D.,Factors Contributing to Traffic Accidents in Hospitalized Patients in Terms of Severity and Functionality,International Journal of Environmental Research and Public Health,10.3390/ijerph20010853
2023,Mercado Reyna J.; Luna-Garcia H.; Espino-Salinas C.H.; Celaya-Padilla J.M.; Gamboa-Rosales H.; Galván-Tejada J.I.; Galván-Tejada C.E.; Solís Robles R.; Rondon D.; Villalba-Condori K.O.,Detection of Helmet Use in Motorcycle Drivers Using Convolutional Neural Network,Applied Sciences (Switzerland),10.3390/app13105882
2023,Rivera-Lara L.; Videtta W.; Calvillo E.; Mejia-Mantilla J.; March K.; Ortega-Gutierrez S.; Obrego G.C.; Paranhos J.E.; Suarez J.I.,Reducing the incidence and mortality of traumatic brain injury in Latin America,European Journal of Trauma and Emergency Surgery,10.1007/s00068-022-02214-4
2022,Carvajal R.R.; Esteban A.N.P.; Contreras C.C.T.; Felipe R.E.E.; González N.R.; Muñoz C.C.M.,"Factors related to healthcare costs of road traffic accidents in Bucaramanga, Colombia",Revista de Saude Publica,10.11606/s1518-8787.2022056003299
2022,Below C.; Brianti I.C.; Parreira J.G.; Lucarelli-Antunes P.S.; Saade N.; Golin M.; Pivetta L.G.A.; Veiga J.C.E.; Assef J.C.,"Clinical assessment of head injuries in motorcyclists involved in traffic accidents: A prospective, observational study; [Investigação da presença de lesões traumáticas em segmento cefálico em motociclistas vítimas de acidentes de tráfego: Estudo observacional prospectivo]",Revista do Colegio Brasileiro de Cirurgioes,10.1590/0100-6991E-20223340
2022,da Silva A.A.; Ströher G.R.; Teixeira H.M.; Cordeiro M.V.G.; Olandoski M.; Von-Bahten L.C.,Impact of the COVID-19 pandemic on the epidemiology of traffic accidents: a cross-sectional study; [Impacto da pandemia da COVID-19 na epidemiologia dos acidentes de trânsito: um estudo transversal],Revista do Colegio Brasileiro de Cirurgioes,10.1590/0100-6991e-20223364-en
2022,Juengst S.B.; Perrin P.B.; Klyce D.W.; O’neil-Pirozzi T.M.; Herrera S.; Wright B.; Lengenfelder J.; Lercher K.; Callender L.; Arango-Lasprilla J.C.,Caregiver Characteristics of Adults with Acute Traumatic Brain Injury in the United States and Latin America,International Journal of Environmental Research and Public Health,10.3390/ijerph19095717
2021,Siteneski A.; Jalca Cantos L.D.; Calderón Delgado E.P.; Yaguache Celi R.M.; Silva Saltos C.A.; Zamora A.; Mastarreno M.; Portalanza D.,Injury patterns among road traffic accidents: A hospital-based study in Ecuador,Bionatura,10.21931/rb/2021.06.02.710.21931/
2021,Pérez-García V.; Amaris-Pérez A.; Escobar-Pacheco C.; Ramos-Díaz A.; Lozada-Martínez I.D.,Letter to the editor regarding “The impact of COVID-19 on neurosurgical head trauma referrals and admission at a tertiary neurosurgical centre”,Journal of Clinical Neuroscience,10.1016/j.jocn.2021.05.070
2021,Nogueira E.F.C.; de Souza R.R.L.; de Menezes L.P.; Lopes P.H.S.; Brasil Júnior O.; Vasconcellos R.J.H.,Reconstruction of extensive sequel of frontal fracture: Optimizing results; [Reconstrução de extensa sequela de fratura frontal: Otimizando resultados],Brazilian Dental Science,10.14295/bds.2021.v24i4.2587
2021,Paulino Campos M.C.; Venzel R.; Pessoa de Oliveira L.; Reis F.; Oliveira de Amorim R.L.,"Management of Traumatic Brain Injury at a Medium Complexity Hospital in a Remote Area of Amazonas, 2017–2019",World Neurosurgery,10.1016/j.wneu.2020.12.088
2021,Cavalcante D.K.F.; Veloso S.R.M.; Durão M.D.A.; Melo V.D.C.; Monteiro G.Q.D.M.; Porto G.G.,Do Helmet Use and Type Influence Facial Trauma Occurrence and Severity in Motorcyclists? A Systematic Review and Meta-analysis,Journal of Oral and Maxillofacial Surgery,10.1016/j.joms.2021.02.028
2021,Selveindran S.M.; Samarutilake G.D.N.; Vera D.S.; Brayne C.; Hill C.; Kolias A.; Joannides A.J.; Hutchinson P.J.A.; Rubiano A.M.,Prevention of road traffic collisions and associated neurotrauma in Colombia: An exploratory qualitative study,PLoS ONE,10.1371/journal.pone.0249004
2021,Batista A.V.S.; Aguiar G.B.; Bennett P.; Umigi M.R.; Veiga J.C.E.,Observational study of patients with occipital condyle fracture at a brazilian referral trauma center; [Estudo observacional de pacientes com fratura de côndilo ocipital em centro de referência em trauma no brasil],Revista do Colegio Brasileiro de Cirurgioes,10.1590/0100-6991e-20213024
